Name,Size,Type,Align.,AC,HP,Speeds,STR,DEX,CON,INT,WIS,CHA,Sav. throws,Skills,Weaknesses,Resistances,Damage Immunities,Condition Immunities,Senses,Languages,CR,Features,Source
"Demon, Armanite",Large,fiend (demon),chotic evil,16,84,60 ft.,21,18,21,8,12,13,,,,"cold, fire, lightning",poison,poisoned,Darkvision 120,"Abyssal, telepathy 120",7,"Magic Resistance, Magic Weapons",Mordenkainen's Tome of Foes
"Demon, Babau",Medium,fiend (demon),chotic evil,16,82,40 ft.,19,16,16,11,12,13,,"Perception, Stealth",,"cold, fire, lightning, nonmagical",poison,poisoned,Darkvision 120,Abyssal,4,Innate Spellcasting,Volo's Guide to Monsters
"Demon, Balor",Huge,fiend (demon),chotic evil,19,262,"40 ft., fly 80 ft.",26,15,22,20,16,22,"Str, Con, Wis, Cha",,,"cold, lightning, nonmagical","fire, poison",poisoned,Truesight 120,"Abyssal, telepathy 120",19,"Death Throes, Fire Aura, Magic Resistance, Magic Weapons",Monster Manual
"Demon, Barlgura",Large,fiend (demon),chotic evil,15,68,"30 ft., climb 30 ft.",18,15,16,7,14,9,"Dex, Con","Perception, Stealth",,"cold, fire, lightning",poison,poisoned,"Blindsight 30, Darkvision 120","Abyssal, telepathy 120",5,"Innate Spellcasting, Reckless, Running Leap",Monster Manual
"Demon, Bulezau",Medium,fiend (demon),chotic evil,14,52,40 ft.,15,14,17,8,9,6,,,,"cold, fire, lightning",poison,"charmed, frightened, poisoned",Darkvision 120,"Abyssal, telepathy 60",3,"Rotting Presence, Standing Leap, Sure-Footed",Mordenkainen's Tome of Foes
"Demon, Chasme",Large,fiend (demon),chotic evil,15,84,"20 ft., fly 60 ft.",15,15,12,11,14,10,"Dex, Wis",Perception,,"cold, fire, lightning",poison,poisoned,"Blindsight 10, darkvision 120","Abyssal, telepathy 120",6,"Drone, Magic Resistance, Spider Climb",Monster Manual
"Demon, Draegloth",Large,fiend (demon),chotic evil,15,123,30 ft.,20,15,18,13,11,11,,"Perception, Stealth",,"cold, fire, lightning",poison,poisoned,Darkvision 120,"Abyssal, Elvish, Undercommon",7,"Fey Ancestry, Innate Spellcasting",Volo's Guide to Monsters
"Demon, Dretch",small,fiend (demon),chotic evil,11,18,20 ft.,11,11,12,5,8,3,,,,"cold, fire, lightning",poison,poisoned,Darkvision 60,"Abyssal, telepathy 60",4-Jan,,Monster Manual
"Demon, Dybbuk",Medium,fiend (demon),chotic evil,14,37,fly 40 ft.,6,19,16,16,15,14,,"Deception, Intimidation, Perception",,"acid, cold, fire, lightning, thunder, nonmagical",poison,"charmed, exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained",Darkvision 120,"Abyssal, Common, telepathy 120",4,"Incorporeal Movement, Innate Spellcasting, Magic Resistance, Violate Corpse",Mordenkainen's Tome of Foes
"Demon, Glabrezu",Large,fiend (demon),chotic evil,17,157,40 ft.,20,15,21,19,17,16,"Str, Con, Wis, Cha",,,"cold, fire, lightning, nonmagical",poison,poisoned,Truesight 120,"Abyssal, telepathy 120",9,"Innate Spellcasting, Magic Resistance",Monster Manual
"Demon, Goristro",Huge,fiend (demon),chotic evil,19,310,40 ft.,25,11,25,6,13,14,"Str, Dex, Con, Wis",Perception,,"cold, fire, lightning, nonmagical",poison,poisoned,Darkvision 120,Abyssal,17,"Charge, Labyrinthine Recall, Magic Resistance, Siege",Monster Manual
"Demon, Hezrou",Large,fiend (demon),chotic evil,16,136,30 ft.,19,17,20,5,12,13,"Str, Con, Wis",,,"cold, fire, lightning, nonmagical",poison,poisoned,Darkvision 120,"Abyssal, telepathy 120",8,"Magic Resistance, Stench",Monster Manual
"Demon, Manes",Small,fiend (demon),chotic evil,9,9,20 ft.,10,9,13,3,8,4,,,,"cold, fire, lightning",poison,"charmed, frightened, poisoned",Darkvision 60,Abyssal,8-Jan,,Monster Manual
"Demon, Marilith",Large,fiend (demon),chotic evil,18,189,40 ft.,18,20,20,18,16,20,"Str, Con, Wis, Cha",,,"cold, fire, lightning, nonmagical",poison,poisoned,Truesight 120,"Abyssal, telepathy 120",16,"Magic Resistance, Magic Weapons, Reactive",Monster Manual
"Demon, Maurezhi",Medium,fiend (demon),chotic evil,15,88,30 ft.,14,17,12,11,12,15,,Deception,,"cold, fire, lightning, necrotic, nonmagical",poison,"charmed, exhaustion, poisoned",Darkvision 120,"Abyssal, Elvish, telepathy 120",7,"Assume Form, Magic Resistance",Mordenkainen's Tome of Foes
"Demon, Maw",Medium,fiend (demon),chotic evil,13,33,30 ft.,14,8,13,5,8,5,,,,"cold, fire, lightning",poison,"charmed, frightened, poisoned",Darkvision 60,Abyssal,1,Rampage,Volo's Guide to Monsters
"Demon, Molydeus",Huge,fiend (demon),chotic evil,19,216,40 ft.,28,22,25,21,24,24,"Str, Con, Wis, Cha",Perception,,"cold, fire, lightning, nonmagical",poison,"blinded, charmed, deafened, frightened, poisoned, stunned",Truesight 120,"Abyssal, telepathy 120",21,"Innate Spellcasting, Legendary, Magic Resistance, Magic Weapons",Mordenkainen's Tome of Foes
"Demon, Nabassu",Medium,fiend (demon),chotic evil,18,190,"40 ft., fly 60 ft.",22,14,21,14,15,17,"Str, Dex",Perception,,"cold, fire, lightning, nonmagical",poison,poisoned,Darkvision 60,"Abyssal, telepathy 120",15,"Demonic Shadows, Devour Soul, Magic Resistance, Magic Weapons",Mordenkainen's Tome of Foes
"Demon, Nalfeshnee",Large,fiend (demon),lawful evil,18,184,"20 ft., fly 30 ft.",21,10,22,19,12,15,"Con, Int, Wis, Cha",,,"cold, fire, lightning, nonmagical",poison,poisoned,Truesight 120,"Abyssal, telepathy 120",13,Magic Resistance,Monster Manual
"Demon, Quasit",Tiny,fiend (demon),chotic evil,13,7,40 ft.,5,17,10,7,10,10,,Stealth,,"cold, fire, lightning, nonmagical",poison,poisoned,Darkvision 120,"Abyssal, Common",1,"Shapechanger, Magic Resistance",Monster Manual
"Demon, Rutterkin",Medium,fiend (demon),chotic evil,12,37,20 ft.,14,15,17,5,12,6,,,,"cold, fire, lightning",poison,"charmed, frightened, poisoned",Darkvision 120,Abyssal,2,Crippling Fear,Mordenkainen's Tome of Foes
"Demon, Shadow",Medium,fiend (demon),chotic evil,13,66,"30 ft., fly 30 ft.",1,17,12,14,13,14,"Dex, Cha",Stealth,radiant,"acid, fire, necrotic, thunder, nonmagical","cold, lightning, poison","exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained",Darkvision 120,"Abyssal, telepathy 120",4,"Incorporeal Movement, Light Sensitivity, Shadow Stealth",Monster Manual
"Demon, Shoosuva",Large,fiend (demon),chotic evil,14,110,40 ft.,18,13,17,7,14,9,"Dex, Con, Wis",,,"cold, fire, lightning, nonmagical",poison,"charmed, frightened, poisoned",Darkvision 60,"Abyssal, Gnoll, telepathy 120",8,Rampage,Volo's Guide to Monsters
"Demon, Sibriex",Huge,fiend (demon),chotic evil,19,150,fly 20 ft.,10,3,23,25,24,25,"Int, Cha","Arcana, History, Perception",,"cold, fire, lightning, nonmagical",poison,poisoned,Truesight 120,"All, telepathy 120",18,"Contamination, Innate Spellcasting, Legendary, Magic Resistance",Mordenkainen's Tome of Foes
"Demon, Vrock",Large,fiend (demon),chotic evil,15,104,"40 ft., fly 60 ft.",17,15,18,8,13,8,"Dex, Wis, Cha",,,"cold, fire, lightning, nonmagical",poison,poisoned,Darkvision 120,"Abyssal, telepathy 120",6,Magic Resistance,Monster Manual
"Demon, Wastrilith",Large,fiend (demon),chotic evil,18,157,"30 ft., swim 80 ft.",19,18,21,19,12,14,"Str, Con",,,"cold, fire, lightning, nonmagical, poison, poisoned",,,Darkvision 120,"Abyssal, telepathy 120",13,"Amphibious, Corrupt Water, Magic Resistance, Undertow",Mordenkainen's Tome of Foes
"Demon, Yochlol",Medium,fiend (demon),chotic evil,15,136,"30 ft., climb 30 ft.",15,14,18,13,15,15,"Dex, Int, Wis, Cha","Deception, Insight",,"cold, fire, lightning, nonmagical",poison,poisoned,Darkvision 120,"Abyssal, Elvish, Undercommon",10,"Shapechanger, Magic Resistance, Spider Climb, Innate Spellcasting, Web Walker",Monster Manual
Derro,Small,humanoid (derro),chotic evil,13,13,30 ft.,10,14,12,11,5,9,,Stealth,,,,,Darkvision 120,"Dwarvish, Undercommon",4-Jan,"Magic Resistance, Sunlight Sensitivity",Mordenkainen's Tome of Foes
Derro Savant,Small,humanoid (derro),chotic evil,13,36,30 ft.,9,14,12,11,5,14,,Stealth,,,,,Darkvision 120,"Dwarvish, Undercommon",3,"Magic Resistance, Normal Spellcasting, Sunlight Sensitivity",Mordenkainen's Tome of Foes
"Devil, Abishai, Black",Medium,fiend (devil),lawful evil,15,58,"30 ft., fly 40 ft.",14,17,14,13,16,11,"Dex, Wis","Perception, Stealth",,"cold, nonmagical, nonsilvered","acid, fire, poison",poisoned,Darkvision 120,"Draconic, Infernal, telepathy 120",7,"Devil's Sight, Magic Resistance, Magic Weapons, Shadow Stealth",Mordenkainen's Tome of Foes
"Devil, Abishai, Blue",Medium,fiend (devil),lawful evil,19,195,"30 ft., fly 50 ft.",15,14,17,22,23,18,"Int, Wis",Arcana,,"cold, nonmagical, nonsilvered","fire, lightning, poison",poisoned,Darkvision 120,"Draconic, Infernal, telepathy 120",17,"Devil's Sight, Magic Resistance, Magic Weapons, Normal Spellcasting",Mordenkainen's Tome of Foes
"Devil, Abishai, Green",Medium,fiend (devil),lawful evil,18,187,"30 ft., fly 40 ft.",12,17,16,17,12,19,"Int, Cha","Deception, Insight, Perception, Persuasion",,"cold, nonmagical, nonsilvered",fire,poisoned,Darkvision 120,"Draconic, Infernal, telepathy 120",15,"Devil's Sight, Innate Spellcasting, Magic Resistance, Magic Weapons",Mordenkainen's Tome of Foes
"Devil, Abishai, Red",Medium,fiend (devil),lawful evil,22,255,"30 ft., fly 50 ft.",23,16,19,14,15,19,"Str, Con, Wis","Intimidation, Perception",,"cold, nonmagical, nonsilvered","fire, poison",poisoned,Darkvision 120,"Draconic, Infernal, telepathy 120",19,"Devil's SIght, Magic Resistance, Magic Weapons",Mordenkainen's Tome of Foes
"Devil, Abishai, White",Medium,fiend (devil),lawful evil,15,68,"30 ft., fly 40 ft.",16,11,18,11,12,13,"Str, Con",,,"nonmagical, nonsilvered","cold, fire, poison",poisoned,Darkvision 120,"Draconic, Infernal, telepathy 120",6,"Devil's Sight, Magic Resistance, Magic Weapons, Reckless",Mordenkainen's Tome of Foes
"Devil, Amnizu",Medium,fiend (devil),lawful evil,21,202,"30 ft., fly 40 ft.",11,13,16,20,12,18,"Dex, Con, Wis, Cha",Perception,,"cold, nonmagical, nonsilvered","fire, poison","charmed, poisoned",Darkvision 120,"Common, Infernal, telepathy 1000",18,"Devil's Sight, Innate Spellcasting, Magic Resistance",Mordenkainen's Tome of Foes
"Devil, Arch, Bael",Large,fiend (devil),lawful evil,18,189,30 ft.,24,17,20,21,24,24,"Dex, Con, Int, Cha","Intimidation, Perception, Persuasion",,"cold, nonmagical, nonsilvered","fire, poison","charmed, exhaustion, frightened, poisoned",Truesight 120,"All, telepathy 120",19,"Dreadful, Innate Spellcasting, Legendary Resistance, Magic Resistance, Magic Weapons, Regeneration, Lair",Mordenkainen's Tome of Foes
"Devil, Arch, Geryon",Huge,fiend (devil),lawful evil,19,300,"30 ft., fly 50 ft.",29,17,22,19,16,23,"Dex, Con, Wis, Cha","Deception, Intimidation, Perception",,"nonmagical, nonsilvered","cold, fire, poison","charmed, exhaustion, frightened, poisoned",Truesight 120,"All, telepathy 120",22,"Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Regeneration",Mordenkainen's Tome of Foes
"Devil, Arch, Hutijin",Large,fiend (devil),lawful evil,19,200,"30 ft., fly 60 ft.",27,15,25,23,19,25,"Dex, Con, Wis","Intimidation, Perception",,"cold, nonmagical, nonsilvered","fire, poison","charmed, exhaustion, frightened, poisoned",Truesight 120,"All, telepathy 120",21,"Infernal Despair, Innate Spellcasting, Legendary, Magic Resistance, Lair, Magic Weapons, Regeneration",Mordenkainen's Tome of Foes
"Devil, Arch, Moloch",Large,fiend (devil),lawful evil,19,253,30 ft.,26,19,22,21,18,23,"Dex, Con, Wis, Cha","Deception, Intimidation, Perception",,"cold, nonmagical, nonsilvered","fire, poison","charmed, exhaustion, frightened, poisoned",Darkvision 120,"All, telepathy 120",21,"Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Regeneration",Mordenkainen's Tome of Foes
"Devil, Arch, Titivilus",Medium,fiend (devil),lawful evil,20,127,"40 ft., fly 60 ft.",19,22,17,24,22,26,"Dex, Con, Wis, Cha","Deception, Insight, Intimidation, Persuasion",,"cold, nonmagical, nonsilvered","fire, poison","exhaustion, frightened, poisoned",Darkvision 120,"All, telepathy 120",16,"Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Regeneration, Ventriloquism",Mordenkainen's Tome of Foes
"Devil, Arch, Zariel",Large,fiend (devil),lawful evil,21,580,"50 ft., fly 150 ft.",27,24,28,26,27,30,"Int, Wis, Cha","Intimidation, Perception",,"cold, fire, radiant, nonmagical, nonsilvered","necrotic, poison","charmed, exhaustion, frightened, poisoned",Darkvision 120,"All, telepathy 120",26,"Devil's Sight, Fiery Weapons, Innate Spellcasting, Legendary, Lair, Magic Resistance, Regeneration",Mordenkainen's Tome of Foes
"Devil, Barbed",Medium,fiend (devil),lawful evil,15,110,30 ft.,16,17,18,12,14,14,"Str, Con, Wis, Cha","Deception, Insight, Perception",,"cold, nonmagical, nonsilvered","fire, poison",poisoned,Darkvision 120,"Infernal, telepathy 120",5,"Barbed Hide, Devil's Sight, Magic Resistance",Monster Manual
"Devil, Bearded",Medium,fiend (devil),lawful evil,13,52,30 ft.,16,15,15,9,11,11,"Str, Con, Wis",,,"cold, nonmagical, nonsilvered","fire, poison",poisoned,Darkvision 120,"Infernal, telepathy 120",3,"Devil's Sight, Magic Resistance, Steadfast",Monster Manual
"Devil, Bone",Large,fiend (devil),lawful evil,19,142,"40 ft., fly 40 ft.",18,16,18,13,14,16,"Int, Wis, Cha","Deception, Insight",,"cold, nonmagical, nonsilvered","fire, poison",poisoned,Darkvision 120,"Infernal, telepathy 120",9,"Devil's Sight, Magic Resistance",Monster Manual
"Devil, Chain",Medium,fiend (devil),lawful evil,16,85,30 ft.,18,15,18,11,12,14,"Con, Wis, Cha",,,"cold, nonmagical, nonsilvered","fire, poison",poisoned,Darkvision 120,"Infernal, telepathy 120",8,"Devil's Sight, Magic Resistance",Monster Manual
"Devil, Erinyes",Medium,fiend (devil),lawful evil,18,153,"30 ft., fly 60 ft.",18,16,18,14,14,18,"Dex, Con, Wis, Cha",,,"cold, nonmagical, nonsilvered","fire, poison",poisoned,Truesight 120,"Infernal, telepathy 120",12,"Hellish Weapons, Magic Resistance",Monster Manual
"Devil, Hellfire Engine",Huge,construct,lawful evil,18,216,40 ft.,20,16,24,2,10,1,"Dex, Wis, Cha",,,"cold, psychic, nonmagical, nonsilvered","fire, poison","charmed, deafened, exhaustion, frightened, paralyzed, poisoned, unconscious",Darkvision 120,Infernal,16,"Immutable Form, Magic Resistance",Mordenkainen's Tome of Foes
"Devil, Horned",Large,fiend (devil),lawful evil,18,178,"20 ft., fly 60 ft.",22,17,21,12,16,17,"Str, Dex, Wis, Cha",,,"cold, nonmagical, nonsilvered","fire, poison",poisoned,Darkvision 120,"Infernal, telepathy 120",11,"Devil's Sight, Magic Resistance",Monster Manual
"Devil, Ice",Large,fiend (devil),lawful evil,18,180,40 ft.,21,14,18,18,15,18,"Dex, Con, Wis, Cha",,,"nonmagical, nonsilvered","cold, fire, poison",poisoned,"Blindsight 60, darkvision 120","Infernal, telepathy 120",14,"Devil's Sight, Magic Resistance",Monster Manual
"Devil, Imp",Tiny,fiend (devil),lawful evil,13,10,"20 ft., fly 40 ft.",6,17,13,11,12,14,,"Deception, Insight, Persuasion, Stealth",,"cold, nonmagical, nonsilvered","fire, poison",poisoned,Darkvision 120,"Infernal, Common",1,"Shapechanger, Devil's Sight, Magic Resistance",Monster Manual
"Devil, Lemure",Medium,fiend (devil),lawful evil,7,13,15 ft.,10,5,11,1,11,3,,,,cold,"fire, poison","charmed, frightened, poisoned",Darkvision 120,Infernal,0,"Devil's Sight, Hellish Rejuvenation",Monster Manual
"Devil, Merregon",Medium,fiend (devil),lawful evil,16,45,30 ft.,18,14,17,6,12,8,,,,"cold, nonmagical, nonsilvered","fire, poison","frightened, poisoned",Darkvision 60,"Infernal, telepathy 120",4,"Devil's Sight, Magic Resistance",Mordenkainen's Tome of Foes
"Devil, Narzugon",Medium,fiend (devil),lawful evil,20,112,30 ft.,20,10,17,16,14,19,"Dex, Con, Cha",Perception,,"acid, cold, nonmagical, nonsilvered","fire, poison","charmed, frightened, poisoned",Darkvision 120,"Common, Infernal, telepathy 120",13,"Diabolical Sense, Infernal Tack, Magic Resistance",Mordenkainen's Tome of Foes
"Devil, Nupperibo",Medium,fiend (devil),lawful evil,13,11,20 ft.,16,11,13,3,8,1,,Perception,,"acid, cold, nonmagical, nonsilvered","fire, poison","blinded, charmed, frightened, poisoned",Blindsight 10,Infernal,2-Jan,"Cloud of Vermin, Hunger-Driven",Mordenkainen's Tome of Foes
"Devil, Orthon",Large,fiend (devil),lawful evil,17,105,"30 ft., climb 30 ft.",22,16,21,15,15,16,"Dex, Con, Wis","Perception, Stealth, Survival",,"cold, nonmagical, nonsilvered","fire, poison","charmed, exhaustion, poisoned","Darkvision 120, truesight 30","Common, INfernal, telepathy 120",10,"Invisibility Field, Magic Resistance",Mordenkainen's Tome of Foes
"Devil, Pit Fiend",Large,fiend (devil),lawful evil,19,300,"30 ft., fly 60 ft.",26,14,24,22,18,24,"Dex, Con, Wis",,,"cold, nonmagical, nonsilvered, fire, poison, poisoned",,,Truesight 120,"Infernal, telepathy 120",20,"Fear Aura, Magic Resistance, Magic Weapon, Innate Spellcasting",Monster Manual
"Devil, Spined",Small,fiend (devil),lawful evil,15,22,"20 ft., fly 40 ft.",10,15,12,11,14,8,,,,"cold, nonmagical, nonsilvered","fire, poison",poisoned,Darkvision 120,"Infernal, telepathy 120",2,"Devil's Sight, Flyby, Limited Spines, Magic Resistance",Monster Manual
Devourer,Large,fiend,chotic evil,16,178,30 ft.,20,12,20,13,10,16,,,,"cold, fire, lightning",poison,poisoned,Darkvision 120,"Abyssal, telepathy 120",13,,Volo's Guide to Monsters
"Dinosaur, Allosaurus",Large,beast,unaligned,13,51,60 ft.,19,13,17,2,12,5,,Perception,,,,,,,2,Pounce,Monster Manual
"Dinosaur, Ankylosaurus",Huge,beast,unaligned,15,68,30 ft.,19,11,15,2,12,5,,,,,,,,,3,,Monster Manual
"Dinosaur, Brontosaurus",Gargantuan,beast,unaligned,15,121,30 ft.,21,9,17,2,10,7,Con,,,,,,,,5,,Volo's Guide to Monsters
"Dinosaur, Deinonychus",Medium,beast,unaligned,13,26,40 ft.,15,15,14,4,12,6,,Perception,,,,,,,1,Pounce,Volo's Guide to Monsters
"Dinosaur, Dimetrodon",Medium,beast,unaligned,12,19,"30 ft., swim 20 ft.",14,10,15,2,10,5,,Perception,,,,,,,4-Jan,,Volo's Guide to Monsters
"Dinosaur, Hadrosaurus",Large,beast,unaligned,11,19,40 ft.,15,10,13,2,10,5,,Perception,,,,,,,4-Jan,,Volo's Guide to Monsters
"Dinosaur, Plesiosaurus",Large,beast,unaligned,13,68,"20 ft., swim 40 ft.",18,15,16,2,12,5,,"Perception, Stealth",,,,,,,2,Hold Breath,Monster Manual
"Dinosaur, Pteranodon",Medium,beast,unaligned,13,13,"10 ft., fly 60 ft.",12,15,10,2,9,5,,Perception,,,,,,,4-Jan,Flyby,Monster Manual
"Dinosaur, Quetzalcoatlus",Huge,beast,unaligned,13,30,"10 ft., fly 80 ft.",15,13,13,2,10,5,,Perception,,,,,,,2,"Dive Attack, FLyby",Volo's Guide to Monsters
"Dinosaur, Stegosaurus",Huge,beast,unaligned,13,76,40 ft.,20,9,17,2,11,5,,,,,,,,,4,,Volo's Guide to Monsters
"Dinosaur, Triceratops",Huge,beast,unaligned,13,95,50 ft.,22,9,17,2,11,5,,,,,,,,,5,Trampling Charge,Monster Manual
"Dinosaur, Tyrannosaurus Rex",Huge,beast,unaligned,13,136,50 ft.,25,10,19,2,12,9,,Perception,,,,,,,8,,Monster Manual
"Dinosaur, Velociraptor",Tiny,beast,unaligned,13,10,30 ft.,6,14,13,4,12,6,,Perception,,,,,,,4-Jan,Pack Tactics,Volo's Guide to Monsters
Displacer Beast,Large,monstrosity,lawful evil,13,85,40 ft.,18,15,16,6,12,8,,,,,,,Darkvision 60,,3,"Avoidance, Displacement",Monster Manual
Doppelganger,Medium,monstrosity,neutral,14,52,30 ft.,11,18,14,11,12,14,,"Deception, Insight",,,,charmed,Darkvision 60,Common,3,"Shapechanger, Ambusher, Surprise Attack",Monster Manual
Dracolich Template,TEMP,undead,lawful evil,TEMP,TEMP,TEMP ft.,TEMP,TEMP,TEMP,TEMP,TEMP,TEMP,Temp,TEMP,,necrotic,poison,"charmed, frightened, paralyzed, poisoned, exhaustion",TEMP,TEMP,TEMP,"TEMP, Magic Resistance",Monster Manual
"Dragon, Chromatic, Black, Adult",Huge,dragon,chotic evil,19,195,"40 ft., fly 80 ft., swim 40 ft.",23,14,21,14,13,17,"Dex, Con, Wis, Cha","Perception, Stealth",,,acid,,"Blindsight 60, darkvision 120","Common, Draconic",14,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual
"Dragon, Chromatic, Black, Ancient",Gargantuan,dragon,chotic evil,22,367,"40 ft., fly 80 ft., swim 40 ft.",27,14,25,16,15,19,"Dex, Con, Wis, Cha","Perception, Stealth",,,acid,,"Blindsight 60, darkvision 120","Common, Draconic",21,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual
"Dragon, Chromatic, Black, Wyrmling",Medium,dragon,chotic evil,17,33,"30 ft., fly 60 ft., swim 30 ft.",15,14,13,10,11,13,"Dex, Con, Wis, Cha","Perception, Stealth",,,acid,,"Blindsight 30, darkvision 120","Common, Draconic",2,Amphibious,Monster Manual
"Dragon, Chromatic, Black, Young",Large,dragon,chotic evil,18,127,"40 ft., fly 80 ft., swim 40 ft.",19,14,17,12,11,15,"Dex, Con, Wis, Cha","Perception, Stealth",,,acid,,"Blindsight 10, darkvision 60",Draconic,7,Amphibious,Monster Manual
"Dragon, Chromatic, Blue, Adult",Huge,dragon,lawful evil,19,225,"40 ft., burrow 40 ft., fly 80 ft.",25,10,23,16,15,19,"Dex, Con, Wis, Cha","Perception, Stealth",,,lightning,,"Blindsight 60, darkvision 120","Common, Draconic",16,"Legendary, Legendary Resistance, Lair",Monster Manual
"Dragon, Chromatic, Blue, Ancient",Gargantuan,dragon,lawful evil,22,481,"40 ft., burrow 30 ft., fly 80 ft.",29,10,27,18,17,21,"Dex, Con, Wis, Cha","Perception, Stealth",,,lightning,,"Blindsight 60, darkvision 120","Common, Draconic",23,"Legendary, Legendary Resistance, Lair",Monster Manual
"Dragon, Chromatic, Blue, Wyrmling",Medium,dragon,lawful evil,17,52,"30 ft., burrow 15 ft., fly 60 ft.",17,10,15,12,11,15,"Dex, Con, Wis, Cha","Perception, Stealth",,,lightning,,"Blindsight 30, darkvision 120","Common, Draconic",3,,Monster Manual
"Dragon, Chromatic, Blue, Young",Large,dragon,lawful evil,18,152,"40 ft., burrow 20 ft., fly 80 ft.",21,10,19,14,13,17,"Dex, Con, Wis, Cha","Perception, Stealth",,,lightning,,"Blindsight 10, darkvision 60",Draconic,9,,Monster Manual
"Dragon, Chromatic, Green, Adult",Huge,dragon,lawful evil,19,207,"40 ft., fly 80 ft., swim 40 ft.",23,12,21,18,15,17,"Dex, Con, Wis, Cha","Deception, Insight, Perception, Persuasion, Stealth",,,poison,poisoned,"Blindsight 60, darkvision 120","Common, Draconic",15,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual
"Dragon, Chromatic, Green, Ancient",Gargantuan,dragon,lawful evil,21,385,"40 ft., fly 80 ft., swim 40 ft.",27,12,25,20,17,19,"Dex, Con, Wis, Cha","Deception, Insight, Perception, Persuasion, Stealth",,,poison,poisoned,"Blindsight 60, darkvision 120","Common, Draconic",22,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual
"Dragon, Chromatic, Green, Wyrmling",Medium,dragon,lawful evil,17,38,"30 ft., fly 60 ft., swim 30 ft.",15,12,13,14,11,13,"Dex, Con, Wis, Cha","Perception, Stealth",,,poison,poisoned,"Blindsight 30, darkvision 120",Draconic,2,Amphibious,Monster Manual
"Dragon, Chromatic, Green, Young",Large,dragon,lawful evil,18,136,"40 ft., fly 80 ft., swim 40 ft.",19,12,17,16,13,15,"Dex, Con, Wis, Cha","Deception, Perception, Stealth",,,poison,poisoned,"Blindsight 60, darkvision 120","Common, Draconic",8,Amphibious,Monster Manual
"Dragon, Chromatic, Red, Adult",Huge,dragon,chotic evil,19,256,"40 ft., climb 40 ft., fly 80 ft.",27,10,25,16,13,21,"Dex, Con, Wis, Cha","Perception, Stealth",,,fire,,"Blindsight 60, darkvision 120","Common, Draconic",17,"Legendary Resistance, Legendary, Lair",Monster Manual
"Dragon, Chromatic, Red, Ancient",Gargantuan,dragon,chotic evil,22,546,"40 ft., climb 40 ft., fly 80 ft.",30,10,29,18,15,23,"Dex, Con, Wis, Cha","Perception, Stealth",,,fire,,"Blindsight 60, darkvision 120","Common, Draconic",24,"Legendary Resistance, Legendary, Lair",Monster Manual
"Dragon, Chromatic, Red, Wyrmling",Medium,dragon,chotic evil,17,75,"40 ft., climb 40 ft., fly 80 ft.",19,10,17,12,11,15,"Dex, Con, Wis, Cha","Perception, Stealth",,,fire,,"Blindsight 30, darkvision 120",Draconic,4,,Monster Manual
"Dragon, Chromatic, Red, Young",Large,dragon,chotic evil,18,178,"30 ft., climb 30 ft., fly 60 ft.",23,10,21,14,11,19,"Dex, Con, Wis, Cha","Perception, Stealth",,,fire,,"Blindsight 10, darkvision 60","Common, Draconic",10,,Monster Manual
"Dragon, Chromatic, White, Adult",Huge,dragon,chotic evil,18,200,"40 ft., burrow 30 ft., fly 80 ft.,  swim 40 ft.",22,10,22,8,12,12,"Dex, Con, Wis, Cha","Perception, Stealth",,,cold,,"Blindsight 60, darkvision 120","Common, Draconic",13,"Ice Walk, Legendary Resistance, Legendary, Lair",Monster Manual
"Dragon, Chromatic, White, Ancient",Gargantuan,dragon,chotic evil,20,333,"40 ft., burrow 40 ft., fly 80 ft., swim 40 ft.",26,10,26,10,13,14,"Dex, Con, Wis, Cha","Perception, Stealth",,,cold,,"Blindsight 60, darkvision 120","Common, Draconic",20,"Ice Walk, Legendary Resistance, Legendary, Lair",Monster Manual
"Dragon, Chromatic, White, Wyrmling",Medium,dragon,chotic evil,16,32,"30 ft., burrow 15 ft., fly 60 ft., swim 30 ft.",14,10,14,5,10,11,"Dex, Con, Wis, Cha","Perception, Stealth",,,cold,,"Blindsight 10, darkvision 60",Draconic,2,Ice Walk,Monster Manual
"Dragon, Chromatic, White, Young",Large,dragon,chotic evil,14,133,"40 ft., burrow 20 ft., fly 80 ft., swim 40 ft.",18,10,18,6,11,12,"Dex, Con, Wis, Cha","Perception, Stealth",,,cold,,"Blindsight 30, darkvision 120","Common, Draconic",6,Ice Walk,Monster Manual
"Dragon, Metallic, Brass, Adult",Huge,dragon,chaotic good,18,172,"40 ft., burrow 30 ft., fly 80 ft.",23,10,21,14,13,17,"Dex, Con, Wis, Cha","History, Perception, Persuasion, Stealth",,,fire,,"Blindsight 60, darkvision 120,","Common, Draconic",13,"Legendary, Legendary Resistance, Lair",Monster Manual
